authorid,articleid
Xrd7m4UAAAAJ,10.1093/rfs/hhv067
5nnfTA4AAAAJ,10.1093/rfs/hhv127
soLvohYAAAAJ,10.1093/rfs/hhv127
yJGicmAAAAAJ,10.1093/rfs/hhv130
CDHWYhAAAAAJ,10.1093/rfs/hhv130
E3B-CBAAAAAJ,10.1093/rfs/hhv069
lwA2CEEAAAAJ,10.1093/rfs/hhv069
os0TPfAAAAAJ,10.1093/rfs/hhv064
Jz0-RSMAAAAJ,10.1093/rfs/hhv064
W-mDQS0AAAAJ,10.1093/rfs/hhv052
t966tjcAAAAJ,10.1093/rfs/hhv052
BzZ3REEAAAAJ,10.1093/rfs/hhv060
fpoAOGkAAAAJ,10.1093/rfs/hhv054
ud6hdzoAAAAJ,10.1093/rfs/hhv054
hbNGOGYAAAAJ,10.1093/rfs/hhv065
6rhzdCIAAAAJ,10.1093/rfs/hhv065
N_X_1oMAAAAJ,10.1093/rfs/hhv065
_8296EwAAAAJ,10.1093/rfs/hhv058
BvibPpgAAAAJ,10.1093/rfs/hhv058
tyuFfAEAAAAJ,10.1093/rfs/hhv125
y4oD1uwAAAAJ,10.1093/rfs/hhv125
tKo3SIgAAAAJ,10.1093/rfs/hhv066
OMknLNkAAAAJ,10.1093/rfs/hhv066
AACyi2cAAAAJ,10.1093/rfs/hhv051
8fmhrisAAAAJ,10.1093/rfs/hhv051
jl6fQT0AAAAJ,10.1093/rfs/hhv050
qW7stjYAAAAJ,10.1093/rfs/hhv050
fjYyIyIAAAAJ,10.1093/rfs/hhv131
00Wb0qYAAAAJ,10.1093/rfs/hhv131
9WbKRQIAAAAJ,10.1093/rfs/hhv048
Te2WCsoAAAAJ,10.1093/rfs/hhv048
0m7HRhUAAAAJ,10.1093/rfs/hhv062
QqwtATAAAAAJ,10.1093/rfs/hhv062
0VxIeTAAAAAJ,10.1093/rfs/hhv070
ByoWF2EAAAAJ,10.1093/rfs/hhv053
Hs2feeUAAAAJ,10.1093/rfs/hhv073
8nyQzDsAAAAJ,10.1093/rfs/hhv073
y5-0f7IAAAAJ,10.1093/rfs/hhv073
cHYBgVwAAAAJ,10.1093/rfs/hhw001
6SHmnoEAAAAJ,10.1093/rfs/hhv129
8r45v0wAAAAJ,10.1093/rfs/hhv129
yHCLAoMAAAAJ,10.1093/rfs/hhv128
HHuOtgkAAAAJ,10.1093/rfs/hhv128
NyD84hQAAAAJ,10.1093/rfs/hhw003
_kS_qCQAAAAJ,10.1093/rfs/hhw003
yDNO1f8AAAAJ,10.1093/rfs/hhw003
1UIH7uQAAAAJ,10.1093/rfs/hhv132
-i2KYoQAAAAJ,10.1093/rfs/hhv074
y1O227QAAAAJ,10.1093/rfs/hhw011
Wg34E1UAAAAJ,10.1093/rfs/hhw011
RpVrV2QAAAAJ,10.1093/rfs/hhv068
tyuFfAEAAAAJ,10.1093/rfs/hhv068
4raEjH0AAAAJ,10.1093/rfs/hhv126
OMknLNkAAAAJ,10.1093/rfs/hhw008
e8pW4qgAAAAJ,10.1093/rfs/hhw008
5lF-YiMAAAAJ,10.1093/rfs/hhw005
_X_MPJ0AAAAJ,10.1093/rfs/hhw005
49l2gTMAAAAJ,10.1093/rfs/hhw012
c-bAuYoAAAAJ,10.1093/rfs/hhw012
rVHHIk0AAAAJ,10.1093/rfs/hhw012
zy7jE4QAAAAJ,10.1093/rfs/hhw016
XizBm0kAAAAJ,10.1093/rfs/hhw016
nP3Lq20AAAAJ,10.1093/rfs/hhw017
8GCGHvwAAAAJ,10.1093/rfs/hhw007
x6t-G-gAAAAJ,10.1093/rfs/hhw007
jXlDHhsAAAAJ,10.1093/rfs/hhw022
1rOdl-EAAAAJ,10.1093/rfs/hhv056
NkKcGb8AAAAJ,10.1093/rfs/hhv056
Rq2h0qoAAAAJ,10.1093/rfs/hhw004
0Kk8UkkAAAAJ,10.1093/rfs/hhw004
yJGicmAAAAAJ,10.1093/rfs/hhw013
CDHWYhAAAAAJ,10.1093/rfs/hhw013
Rq2h0qoAAAAJ,10.1093/rfs/hhw018
TBLPnvoAAAAJ,10.1093/rfs/hhw018
7jQV2sAAAAAJ,10.1093/rfs/hhw018
ACxcQnYAAAAJ,10.1093/rfs/hhw024
rhpe0P0AAAAJ,10.1093/rfs/hhw024
raR9UhwAAAAJ,10.1093/rfs/hhw024
yjST-uQAAAAJ,10.1093/rfs/hhw021
Iae7qqcAAAAJ,10.1093/rfs/hhw021
KrsoDPAAAAAJ,10.1093/rfs/hhw038
4FX0n84AAAAJ,10.1093/rfs/hhw038
Rl-Y4zIAAAAJ,10.1093/rfs/hhw038
8L5BYj_Qmt8C,10.1093/rfs/hhw029
EjAJkH0AAAAJ,10.1093/rfs/hhw029
UfPZX8wAAAAJ,10.1093/rfs/hhw009
se30-eEAAAAJ,10.1093/rfs/hhw009
RFm2iicAAAAJ,10.1093/rfs/hhw027
KnspFvkAAAAJ,10.1093/rfs/hhw027
t966tjcAAAAJ,10.1093/rfs/hhw028
A93XG4AAAAAJ,10.1093/rfs/hhw028
HI-YC7cAAAAJ,10.1093/rfs/hhw026
bYdN94gAAAAJ,10.1093/rfs/hhw026
pOVfgz4AAAAJ,10.1093/rfs/hhw026
sYN5D_EAAAAJ,10.1093/rfs/hhw048
y1klEvYAAAAJ,10.1093/rfs/hhw048
gRdp1nkAAAAJ,10.1093/rfs/hhw006
8CC5N-YAAAAJ,10.1093/rfs/hhw006
apUAKLgAAAAJ,10.1093/rfs/hhw025
UXmpersAAAAJ,10.1093/rfs/hhw025
cFARHCsAAAAJ,10.1093/rfs/hhv071
by0TPPEAAAAJ,10.1093/rfs/hhw037
J9GQ2mAAAAAJ,10.1093/rfs/hhw037
8Nm-ljQAAAAJ,10.1093/rfs/hhw031
aovr3O0AAAAJ,10.1093/rfs/hhw019
goAXuGIAAAAJ,10.1093/rfs/hhw023
BbuHKigAAAAJ,10.1093/rfs/hhw023
VGBU3GIAAAAJ,10.1093/rfs/hhw034
oJSOTJUAAAAJ,10.1093/rfs/hhw014
XcMKzxMAAAAJ,10.1093/rfs/hhw014
aify3ioAAAAJ,10.1093/rfs/hhw042
vmsYJKYAAAAJ,10.1093/rfs/hhw042
mw8yVHoAAAAJ,10.1093/rfs/hhw042
rlbdgMEAAAAJ,10.1093/rfs/hhw040
UOEghgsAAAAJ,10.1093/rfs/hhw040
a4Q2tn0AAAAJ,10.1093/rfs/hhw040
WI3u_xIAAAAJ,10.1093/rfs/hhw039
aBKcwVgAAAAJ,10.1093/rfs/hhw039
wvl1mTMAAAAJ,10.1093/rfs/hhw041
5qRHOKAAAAAJ,10.1093/rfs/hhw041
hvCb0-4AAAAJ,10.1093/rfs/hhw041
gO7LbHsAAAAJ,10.1093/rfs/hhw054
ubzu7jQAAAAJ,10.1093/rfs/hhw054
iZAsYLgAAAAJ,10.1093/rfs/hhw036
rAf3yyYAAAAJ,10.1093/rfs/hhw036
toCMA4wAAAAJ,10.1093/rfs/hhw036
4D_V_kkAAAAJ,10.1093/rfs/hhw063
iRHXIAQAAAAJ,10.1093/rfs/hhw053
duwqhBwAAAAJ,10.1093/rfs/hhw053
z2i22UcAAAAJ,10.1093/rfs/hhw010
8udO65kAAAAJ,10.1093/rfs/hhw010
QOIvBK4AAAAJ,10.1093/rfs/hhw049
pZdURPgAAAAJ,10.1093/rfs/hhw045
70wYFrMAAAAJ,10.1093/rfs/hhw045
MXB4mDUAAAAJ,10.1093/rfs/hhw045
vMdIDEEAAAAJ,10.1093/rfs/hhw061
GYeW5ukAAAAJ,10.1093/rfs/hhw061
Nb0LuGwAAAAJ,10.1093/rfs/hhw061
hv9tPtgAAAAJ,10.1093/rfs/hhw033
3ukhbMwAAAAJ,10.1093/rfs/hhw033
hsxQxqEAAAAJ,10.1093/rfs/hhw033
BYCuQ1oAAAAJ,10.1093/rfs/hhw059
YGDFX2gAAAAJ,10.1093/rfs/hhw055
lRlN6DQAAAAJ,10.1093/rfs/hhw055
UvpARJwAAAAJ,10.1093/rfs/hhw055
s5Ln-0IAAAAJ,10.1093/rfs/hhw057
llHuJGgAAAAJ,10.1093/rfs/hhw057
D2DXOIEAAAAJ,10.1093/rfs/hhw066
p8phiaYAAAAJ,10.1093/rfs/hhw066
8TniZXQAAAAJ,10.1093/rfs/hhw065
U02Wr5oAAAAJ,10.1093/rfs/hhw065
wfFuDD8AAAAJ,10.1093/rfs/hhw065
QhGj_ukAAAAJ,10.1093/rfs/hhw070
WV7lsrwAAAAJ,10.1093/rfs/hhw070
wRL6kO8AAAAJ,10.1093/rfs/hhw020
YYDigKwAAAAJ,10.1093/rfs/hhw020
bBGftBAAAAAJ,10.1093/rfs/hhw020
zqHrZZoAAAAJ,10.1093/rfs/hhw052
mENuLvUAAAAJ,10.1093/rfs/hhw064
L4AE2yYAAAAJ,10.1093/rfs/hhw064
sLuQCfoAAAAJ,10.1093/rfs/hhw064
ngWuE0gAAAAJ,10.1093/rfs/hhw062
mkfRU8EAAAAJ,10.1093/rfs/hhw058
tZbswfUAAAAJ,10.1093/rfs/hhw058
PZWsQzUAAAAJ,10.1093/rfs/hhw071
lReUxqkAAAAJ,10.1093/rfs/hhw044
5sUeVrkAAAAJ,10.1093/rfs/hhw044
HyDGckYAAAAJ,10.1093/rfs/hhw044
3deUt7IAAAAJ,10.1093/rfs/hhv076
UEw-_C8AAAAJ,10.1093/rfs/hhv076
5lF-YiMAAAAJ,10.1093/rfs/hhw079
CotmtvkAAAAJ,10.1093/rfs/hhw056
jY0gAyAAAAAJ,10.1093/rfs/hhw056
g4Vzt1IAAAAJ,10.1093/rfs/hhw068
vU1i1WwAAAAJ,10.1093/rfs/hhw068
L3x4IcgAAAAJ,10.1093/rfs/hhw060
8abFiFMAAAAJ,10.1093/rfs/hhw060
iZAsYLgAAAAJ,10.1093/rfs/hhw088
XhSFeucAAAAJ,10.1093/rfs/hhw088
Vr5iLk0AAAAJ,10.1093/rfs/hhw088
RFm2iicAAAAJ,10.1093/rfs/hhw015
ZA5dz8MAAAAJ,10.1093/rfs/hhw072
tPoHFwsAAAAJ,10.1093/rfs/hhw084
ybU7ok0AAAAJ,10.1093/rfs/hhw084
jSNCRpIAAAAJ,10.1093/rfs/hhw075
Rl-Y4zIAAAAJ,10.1093/rfs/hhw067
gYKhEAUAAAAJ,10.1093/rfs/hhw067
o7EhO8sAAAAJ,10.1093/rfs/hhw067
pcczuiQAAAAJ,10.1093/rfs/hhw030
8AsNwWkAAAAJ,10.1093/rfs/hhw030
iZAsYLgAAAAJ,10.1093/rfs/hhw096
OzHUSr8AAAAJ,10.1093/rfs/hhw096
Wozc0GgAAAAJ,10.1093/rfs/hhw096
ioraEB0AAAAJ,10.1093/rfs/hhw097
HdEPV0IAAAAJ,10.1093/rfs/hhw097
N8Z4txcAAAAJ,10.1093/rfs/hhw097
ctHVoM8AAAAJ,10.1093/rfs/hhw090
bKbp_9cAAAAJ,10.1093/rfs/hhw090
gBlHRhwAAAAJ,10.1093/rfs/hhw090
D1UMQV8AAAAJ,10.1093/rfs/hhw093
Y3EFdaIAAAAJ,10.1093/rfs/hhw093
JU_o9NoAAAAJ,10.1093/rfs/hhw032
UjI_Em8AAAAJ,10.1093/rfs/hhw032
my0aSJYAAAAJ,10.1093/rfs/hhw089
MwKqqlAAAAAJ,10.1093/rfs/hhw089
MhGDjOMAAAAJ,10.1093/rfs/hhw083
6HIidWcAAAAJ,10.1093/rfs/hhw083
G5UW9XkAAAAJ,10.1093/rfs/hhw083
fiHcp2UAAAAJ,10.1093/rfs/hhw099
Wozc0GgAAAAJ,10.1093/rfs/hhw099
s1bAFGEAAAAJ,10.1093/rfs/hhx001
KnspFvkAAAAJ,10.1093/rfs/hhx001
7XuLcfAAAAAJ,10.1093/rfs/hhx001
wCjGtwsAAAAJ,10.1093/rfs/hhw102
0X5bBMoAAAAJ,10.1093/rfs/hhw101
1MK2_tMAAAAJ,10.1093/rfs/hhw107
nCqt1jgAAAAJ,10.1093/rfs/hhw107
LnD3DiAAAAAJ,10.1093/rfs/hhx005
38ULq0AAAAAJ,10.1093/rfs/hhx005
OICKPxwAAAAJ,10.1093/rfs/hhx006
EndDqUMAAAAJ,10.1093/rfs/hhx006
eHHq4g4AAAAJ,10.1093/rfs/hhw085
bCf2Yk8AAAAJ,10.1093/rfs/hhw085
ElAtiUsAAAAJ,10.1093/rfs/hhw112
EjAJkH0AAAAJ,10.1093/rfs/hhw112
7bEGjnoAAAAJ,10.1093/rfs/hhw103
d7Ysbh4AAAAJ,10.1093/rfs/hhw103
p1rH5c4AAAAJ,10.1093/rfs/hhw103
JnZh2mQAAAAJ,10.1093/rfs/hhw092
9bQPR0AAAAAJ,10.1093/rfs/hhw092
E8dymM0AAAAJ,10.1093/rfs/hhw106
8ZCkHPcAAAAJ,10.1093/rfs/hhw106
8fmhrisAAAAJ,10.1093/rfs/hhw095
5yeY7N4AAAAJ,10.1093/rfs/hhw095
TMfxQWwAAAAJ,10.1093/rfs/hhw095
F9dM12IAAAAJ,10.1093/rfs/hhw082
LkQaenIAAAAJ,10.1093/rfs/hhw082
Njhng4kAAAAJ,10.1093/rfs/hhw105
ZSc-Ts8AAAAJ,10.1093/rfs/hhw105
FHp6Vj8AAAAJ,10.1093/rfs/hhx002
hc2a9Y4AAAAJ,10.1093/rfs/hhx002
ktC1pPAAAAAJ,10.1093/rfs/hhx008
DOFp0nIAAAAJ,10.1093/rfs/hhx008
E8dymM0AAAAJ,10.1093/rfs/hhx008
Nb0LuGwAAAAJ,10.1093/rfs/hhw109
5e2ovSYAAAAJ,10.1093/rfs/hhw108
TBLPnvoAAAAJ,10.1093/rfs/hhw111
3nc38_MAAAAJ,10.1093/rfs/hhw111
Cj3harMAAAAJ,10.1093/rfs/hhw035
tzV3-jgAAAAJ,10.1093/rfs/hhw035
U02Wr5oAAAAJ,10.1093/rfs/hhw035
OcIl1WgAAAAJ,10.1093/rfs/hhw098
Ni_r1zQAAAAJ,10.1093/rfs/hhx016
7qWDck8AAAAJ,10.1093/rfs/hhw100
WI3u_xIAAAAJ,10.1093/rfs/hhx007
AbDGVesAAAAJ,10.1093/rfs/hhx007
bHNScdMAAAAJ,10.1093/rfs/hhx007
aDd3xn4AAAAJ,10.1093/rfs/hhw086
seyQlMwAAAAJ,10.1093/rfs/hhw086
RTgwp14AAAAJ,10.1093/rfs/hhw086
Liz6NGgAAAAJ,10.1093/rfs/hhw080
1krHoXIAAAAJ,10.1093/rfs/hhw080
YZBSL2oAAAAJ,10.1093/rfs/hhw080
33FWuM8AAAAJ,10.1093/rfs/hhx029
6bBdvEgAAAAJ,10.1093/rfs/hhx029
OT2UmmsAAAAJ,10.1093/rfs/hhx026
1_W1qE4AAAAJ,10.1093/rfs/hhw104
s3bu-yAAAAAJ,10.1093/rfs/hhw104
b7ZE7NwAAAAJ,10.1093/rfs/hhw081
Y6p8niEAAAAJ,10.1093/rfs/hhw081
4Atx94QAAAAJ,10.1093/rfs/hhx011
SDEwIIIAAAAJ,10.1093/rfs/hhx011
nsp4Ng0AAAAJ,10.1093/rfs/hhx023
mJF87gYAAAAJ,10.1093/rfs/hhx023
8-BCPMgAAAAJ,10.1093/rfs/hhx023
dl2D4z0AAAAJ,10.1093/rfs/hhw069
rBuS2L4AAAAJ,10.1093/rfs/hhw069
qtkzRE8AAAAJ,10.1093/rfs/hhx025
xMpH8-AAAAAJ,10.1093/rfs/hhx025
x6t-G-gAAAAJ,10.1093/rfs/hhx009
-eV_VSoAAAAJ,10.1093/rfs/hhx009
Jz0-RSMAAAAJ,10.1093/rfs/hhx009
2FDIapAAAAAJ,10.1093/rfs/hhx004
_UHUfFsAAAAJ,10.1093/rfs/hhx018
8xkv1fsAAAAJ,10.1093/rfs/hhx018
PYyq53YAAAAJ,10.1093/rfs/hhx018
fcMJRg8AAAAJ,10.1093/rfs/hhx047
sYN5D_EAAAAJ,10.1093/rfs/hhx012
dy-r54IAAAAJ,10.1093/rfs/hhw087
X8_YNjIAAAAJ,10.1093/rfs/hhw087
z9TGeXYAAAAJ,10.1093/rfs/hhx039
z9uP55IAAAAJ,10.1093/rfs/hhx021
WMXMWYcAAAAJ,10.1093/rfs/hhx021
IStsYCEAAAAJ,10.1093/rfs/hhx015
Iae7qqcAAAAJ,10.1093/rfs/hhx015
ycOcKicAAAAJ,10.1093/rfs/hhx022
SvDxVtwAAAAJ,10.1093/rfs/hhx022
dXMtVbAAAAAJ,10.1093/rfs/hhx020
D0YBuVQAAAAJ,10.1093/rfs/hhx020
nsp4Ng0AAAAJ,10.1093/rfs/hhx040
JPBKqhQAAAAJ,10.1093/rfs/hhx050
_jKl6ogAAAAJ,10.1093/rfs/hhx050
gkvpaHsAAAAJ,10.1093/rfs/hhx050
JPBKqhQAAAAJ,10.1093/rfs/hhx050
_jKl6ogAAAAJ,10.1093/rfs/hhx050
gkvpaHsAAAAJ,10.1093/rfs/hhx050
Rq2h0qoAAAAJ,10.1093/rfs/hhx049
bG8XjFcAAAAJ,10.1093/rfs/hhx049
0Kk8UkkAAAAJ,10.1093/rfs/hhx049
FlfkzQ8AAAAJ,10.1093/rfs/hhx041
xjHsggYAAAAJ,10.1093/rfs/hhx041
znKtbQUAAAAJ,10.1093/rfs/hhx037
44XNe5oAAAAJ,10.1093/rfs/hhx037
gvmZW_8AAAAJ,10.1093/rfs/hhx037
TYEow9UAAAAJ,10.1093/rfs/hhx077
opdGwksAAAAJ,10.1093/rfs/hhx077
2J2NgWgAAAAJ,10.1093/rfs/hhx027
W5fNElsAAAAJ,10.1093/rfs/hhx027
wYM5K5sAAAAJ,10.1093/rfs/hhx027
YldwpLsAAAAJ,10.1093/rfs/hhx031
2n8VY_MAAAAJ,10.1093/rfs/hhx031
ItLhJVAAAAAJ,10.1093/rfs/hhx010
pZdURPgAAAAJ,10.1093/rfs/hhx048
wIljh98AAAAJ,10.1093/rfs/hhx048
dDYUqn8AAAAJ,10.1093/rfs/hhx048
4Weq9mEAAAAJ,10.1093/rfs/hhx070
RDHSCgMAAAAJ,10.1093/rfs/hhx070
7QwB9o8AAAAJ,10.1093/rfs/hhx070
wSjmZz8AAAAJ,10.1093/rfs/hhx070
gBs1SVwAAAAJ,10.1093/rfs/hhx045
5ak-G9IAAAAJ,10.1093/rfs/hhx045
iKO7aLcAAAAJ,10.1093/rfs/hhx032
q2JJ8_QAAAAJ,10.1093/rfs/hhx032
12qi580AAAAJ,10.1093/rfs/hhx032
YhXAiDQAAAAJ,10.1093/rfs/hhx030
tTXa_3wAAAAJ,10.1093/rfs/hhx044
yKUPiA4AAAAJ,10.1093/rfs/hhx024
pQy1Z5kAAAAJ,10.1093/rfs/hhx024
uEKU998AAAAJ,10.1093/rfs/hhx038
gz9UZ1YAAAAJ,10.1093/rfs/hhx038
4ORC05wAAAAJ,10.1093/rfs/hhx038
CotmtvkAAAAJ,10.1093/rfs/hhx036
jY0gAyAAAAAJ,10.1093/rfs/hhx036
Qc6mk4cAAAAJ,10.1093/rfs/hhx043
8yqcCCYAAAAJ,10.1093/rfs/hhx043
qJ-aSK8AAAAJ,10.1093/rfs/hhx082
VTPp2QwAAAAJ,10.1093/rfs/hhx082
0X5bBMoAAAAJ,10.1093/rfs/hhx059
oKCW91kAAAAJ,10.1093/rfs/hhx059
qhCL08UAAAAJ,10.1093/rfs/hhx062
nOXTFjwAAAAJ,10.1093/rfs/hhx062
apIGIjAAAAAJ,10.1093/rfs/hhx062
UHdwvZkAAAAJ,10.1093/rfs/hhx067
f6wawrMAAAAJ,10.1093/rfs/hhw077
ZTixNJgAAAAJ,10.1093/rfs/hhx063
b6_2N7sAAAAJ,10.1093/rfs/hhx063
CDHWYhAAAAAJ,10.1093/rfs/hhx053
WaIlibcAAAAJ,10.1093/rfs/hhx003
WoSILroAAAAJ,10.1093/rfs/hhx003
lV09Kb0AAAAJ,10.1093/rfs/hhx003
gWuVsjAAAAAJ,10.1093/rfs/hhx081
c4bammQAAAAJ,10.1093/rfs/hhx056
hDyyAeEAAAAJ,10.1093/rfs/hhx056
JZkMQOoAAAAJ,10.1093/rfs/hhx072
He8K7HAAAAAJ,10.1093/rfs/hhx072
UgdH9gYAAAAJ,10.1093/rfs/hhx084
NkKcGb8AAAAJ,10.1093/rfs/hhx084
9P9zXcYAAAAJ,10.1093/rfs/hhx019
XOH_EbUAAAAJ,10.1093/rfs/hhx019
g8DNHjIAAAAJ,10.1093/rfs/hhx052
cwtj0iwAAAAJ,10.1093/rfs/hhx052
DA0FBM8AAAAJ,10.1093/rfs/hhx034
9tEVBqIAAAAJ,10.1093/rfs/hhx034
3Yff_zAAAAAJ,10.1093/rfs/hhx068
bDkA050AAAAJ,10.1093/rfs/hhx051
Gs7fYh0AAAAJ,10.1093/rfs/hhx051
xkR-pmwAAAAJ,10.1093/rfs/hhx065
BYCuQ1oAAAAJ,10.1093/rfs/hhx069
vgJFAjUAAAAJ,10.1093/rfs/hhx069
z2i22UcAAAAJ,10.1093/rfs/hhx042
5sUeVrkAAAAJ,10.1093/rfs/hhx042
UjPAzQ4AAAAJ,10.1093/rfs/hhx080
Q9vUaFMAAAAJ,10.1093/rfs/hhx080
OMknLNkAAAAJ,10.1093/rfs/hhx080
GJ32BqkAAAAJ,10.1093/rfs/hhx092
OzTzReYAAAAJ,10.1093/rfs/hhx092
qeoHAtIAAAAJ,10.1093/rfs/hhx092
JXgmF4YAAAAJ,10.1093/rfs/hhx060
YbATkbEAAAAJ,10.1093/rfs/hhx060
c12tE0wAAAAJ,10.1093/rfs/hhx060
rpLR2XsAAAAJ,10.1093/rfs/hhx087
C2dW0NcAAAAJ,10.1093/rfs/hhx087
pGl-V1IAAAAJ,10.1093/rfs/hhx035
R60FOSAAAAAJ,10.1093/rfs/hhx035
tjQDs9gAAAAJ,10.1093/rfs/hhx035
D29Vx90AAAAJ,10.1093/rfs/hhx091
a8YlMPwAAAAJ,10.1093/rfs/hhx091
9sxrPMUAAAAJ,10.1093/rfs/hhx046
02FvCekAAAAJ,10.1093/rfs/hhx046
J7GvCtkAAAAJ,10.1093/rfs/hhx055
l9Or8EMAAAAJ,10.1093/rfs/hhx086
rMEMe14AAAAJ,10.1093/rfs/hhx086
JPBKqhQAAAAJ,10.1093/rfs/hhx057
6lo1BxEAAAAJ,10.1093/rfs/hhx057
D8b_99cAAAAJ,10.1093/rfs/hhx105
TC_noBwAAAAJ,10.1093/rfs/hhx105
d4rNef8AAAAJ,10.1093/rfs/hhx105
se30-eEAAAAJ,10.1093/rfs/hhx098
8Cuk5vYAAAAJ,10.1093/rfs/hhx098
Bhf9ksAAAAAJ,10.1093/rfs/hhx075
w4uFJCcAAAAJ,10.1093/rfs/hhx075
l7yJGHMAAAAJ,10.1093/rfs/hhx075
hYGPtU8AAAAJ,10.1093/rfs/hhx079
CZKf3WEAAAAJ,10.1093/rfs/hhx079
Oigg-tkAAAAJ,10.1093/rfs/hhx108
4R2RyQcAAAAJ,10.1093/rfs/hhx108
6zgpsEAAAAAJ,10.1093/rfs/hhx108
A_rlfyYAAAAJ,10.1093/rfs/hhx095
b054o8sAAAAJ,10.1093/rfs/hhx095
8abFiFMAAAAJ,10.1093/rfs/hhx099
cBy1338AAAAJ,10.1093/rfs/hhx099
axcAtmoAAAAJ,10.1093/rfs/hhx096
wWvHiHAAAAAJ,10.1093/rfs/hhx096
sFqraMAAAAAJ,10.1093/rfs/hhx114
AgQr3wEAAAAJ,10.1093/rfs/hhx114
4G4cjz8AAAAJ,10.1093/rfs/hhx140
A8zBg_YAAAAJ,10.1093/rfs/hhx115
7I1Mh6YAAAAJ,10.1093/rfs/hhx115
782Ru-YAAAAJ,10.1093/rfs/hhx115
uv4ULhwAAAAJ,10.1093/rfs/hhx083
MphfSQgAAAAJ,10.1093/rfs/hhx083
x6t-G-gAAAAJ,10.1093/rfs/hhx109
SNAZWn8AAAAJ,10.1093/rfs/hhx109
E3B-CBAAAAAJ,10.1093/rfs/hhx117
U92vZ7oAAAAJ,10.1093/rfs/hhx117
meoIFeYAAAAJ,10.1093/rfs/hhx117
8s_n788AAAAJ,10.1093/rfs/hhx112
uLg2ULUAAAAJ,10.1093/rfs/hhx102
UvpARJwAAAAJ,10.1093/rfs/hhx102
0Ry0IA4AAAAJ,10.1093/rfs/hhx107
WI3u_xIAAAAJ,10.1093/rfs/hhx107
aBKcwVgAAAAJ,10.1093/rfs/hhx107
mQicEjMAAAAJ,10.1093/rfs/hhx113
Re7RdYwAAAAJ,10.1093/rfs/hhx113
5jwXMFUAAAAJ,10.1093/rfs/hhx103
RwFE8mwAAAAJ,10.1093/rfs/hhx103
5OqolPMAAAAJ,10.1093/rfs/hhx130
rXhhLccAAAAJ,10.1093/rfs/hhx130
RpVrV2QAAAAJ,10.1093/rfs/hhx078
Haxkq8cAAAAJ,10.1093/rfs/hhx078
Ars72Y0AAAAJ,10.1093/rfs/hhx078
b_gfZeQAAAAJ,10.1093/rfs/hhx061
xTw2Dh4AAAAJ,10.1093/rfs/hhx061
HI-YC7cAAAAJ,10.1093/rfs/hhx061
MDb-W6YAAAAJ,10.1093/rfs/hhx064
a63AosgAAAAJ,10.1093/rfs/hhx064
tgPNwOwAAAAJ,10.1093/rfs/hhx064
yJGicmAAAAAJ,10.1093/rfs/hhx085
LhyAqEUAAAAJ,10.1093/rfs/hhx085
SIompPEAAAAJ,10.1093/rfs/hhx058
bsSQDIkAAAAJ,10.1093/rfs/hhx058
YhXAiDQAAAAJ,10.1093/rfs/hhx058
rAf3yyYAAAAJ,10.1093/rfs/hhx104
YD0AfNYAAAAJ,10.1093/rfs/hhx104
SX8a-XUAAAAJ,10.1093/rfs/hhx123
CWsRvV0AAAAJ,10.1093/rfs/hhx123
r8MqABAAAAAJ,10.1093/rfs/hhx122
5e2ovSYAAAAJ,10.1093/rfs/hhx122
eX0ndosAAAAJ,10.1093/rfs/hhx125
zINybh8AAAAJ,10.1093/rfs/hhx125
M9b9vAYAAAAJ,10.1093/rfs/hhx132
PT0Kci0AAAAJ,10.1093/rfs/hhx132
GWhvHuMAAAAJ,10.1093/rfs/hhx127
_JvxO58AAAAJ,10.1093/rfs/hhx127
myLUzqcAAAAJ,10.1093/rfs/hhx127
AwI2rzEAAAAJ,10.1093/rfs/hhy021
41e6AScAAAAJ,10.1093/rfs/hhy021
f2RVNGIAAAAJ,10.1093/rfs/hhx118
C8SXuKMAAAAJ,10.1093/rfs/hhx118
Vy_E424AAAAJ,10.1093/rfs/hhx131
-TKOjYoAAAAJ,10.1093/rfs/hhx131
1krHoXIAAAAJ,10.1093/rfs/hhx073
-ehX93wAAAAJ,10.1093/rfs/hhx073
6CMNcpoAAAAJ,10.1093/rfs/hhx136
7ypz2aYAAAAJ,10.1093/rfs/hhx136
rRQncQwAAAAJ,10.1093/rfs/hhx135
fJ3Vvh4AAAAJ,10.1093/rfs/hhx138
7GJfkOsAAAAJ,10.1093/rfs/hhx138
vhBGfTAAAAAJ,10.1093/rfs/hhx138
w_H_FzEAAAAJ,10.1093/rfs/hhy034
lFs6HXgAAAAJ,10.1093/rfs/hhy034
4fVMXTgAAAAJ,10.1093/rfs/hhy034
CJi-FhQAAAAJ,10.1093/rfs/hhy005
H-lkepAAAAAJ,10.1093/rfs/hhx133
-jVLy5kAAAAJ,10.1093/rfs/hhx133
uTM9dGkAAAAJ,10.1093/rfs/hhx144
ovz7W9oAAAAJ,10.1093/rfs/hhx144
byCtppgAAAAJ,10.1093/rfs/hhx137
skSQjRcAAAAJ,10.1093/rfs/hhy003
0pXbmksAAAAJ,10.1093/rfs/hhy003
6Y2R0tgAAAAJ,10.1093/rfs/hhy003
GDVR6xsAAAAJ,10.1093/rfs/hhy028
5SQ2RI8AAAAJ,10.1093/rfs/hhy028
xJep3mwAAAAJ,10.1093/rfs/hhx094
